Wavelength,642_80
300.00,9.5000001465451E-7
301.00,9.5000001465451E-7
302.00,9.5000001465451E-7
303.00,9.5000001465451E-7
304.00,4.8203301048488E-6
305.00,9.5000001465451E-7
306.00,9.5000001465451E-7
307.00,9.5000001465451E-7
308.00,2.3615000372956E-6
309.00,9.5000001465451E-7
310.00,9.5000001465451E-7
311.00,9.5000001465451E-7
312.00,2.7718299406843E-6
313.00,2.3945799512148E-6
314.00,9.5000001465451E-7
315.00,9.5000001465451E-7
316.00,9.5000001465451E-7
317.00,9.5000001465451E-7
318.00,1.0355900030845E-6
319.00,2.4446899260511E-6
320.00,2.6720799723989E-6
321.00,9.5000001465451E-7
322.00,9.5000001465451E-7
323.00,9.5000001465451E-7
324.00,9.5000001465451E-7
325.00,9.5000001465451E-7
326.00,9.5000001465451E-7
327.00,9.561030083205E-7
328.00,9.5000001465451E-7
329.00,9.5000001465451E-7
330.00,1.6385699836974E-6
331.00,9.5000001465451E-7
332.00,9.5000001465451E-7
333.00,1.7521499557915E-6
334.00,2.5918800474756E-6
335.00,1.6652300018904E-6
336.00,9.5000001465451E-7
337.00,1.2530100548247E-6
338.00,9.5000001465451E-7
339.00,9.5000001465451E-7
340.00,1.1073200312239E-6
341.00,9.5000001465451E-7
342.00,9.5000001465451E-7
343.00,1.9731000975298E-6
344.00,9.5000001465451E-7
345.00,2.0406901057868E-6
346.00,9.5000001465451E-7
347.00,2.7189500997338E-6
348.00,9.5000001465451E-7
349.00,9.5000001465451E-7
350.00,1.9073299881711E-6
351.00,9.5000001465451E-7
352.00,9.5000001465451E-7
353.00,1.4210600056686E-6
354.00,9.5000001465451E-7
355.00,1.0417900284665E-6
356.00,9.5000001465451E-7
357.00,9.5000001465451E-7
358.00,9.5000001465451E-7
359.00,9.5000001465451E-7
360.00,9.5000001465451E-7
361.00,9.5000001465451E-7
362.00,2.1324599401851E-6
363.00,3.3760200039978E-6
364.00,7.7034601417836E-6
365.00,1.6859499964994E-6
366.00,1.6554499779886E-6
367.00,9.5000001465451E-7
368.00,9.5000001465451E-7
369.00,1.020179979605E-6
370.00,1.5828300092835E-6
371.00,1.8545699731476E-6
372.00,9.5000001465451E-7
373.00,1.9037800029764E-6
374.00,9.5000001465451E-7
375.00,1.2806799531973E-6
376.00,1.1159900168423E-6
377.00,1.3579699498223E-6
378.00,1.4621100490331E-6
379.00,9.5000001465451E-7
380.00,9.5000001465451E-7
381.00,9.5000001465451E-7
382.00,2.4551700334996E-6
383.00,9.5000001465451E-7
384.00,9.5000001465451E-7
385.00,9.5000001465451E-7
386.00,9.5000001465451E-7
387.00,9.5000001465451E-7
388.00,1.7052100247383E-6
389.00,9.5000001465451E-7
390.00,9.5000001465451E-7
391.00,9.5000001465451E-7
392.00,1.1139700291096E-6
393.00,9.5000001465451E-7
394.00,9.5000001465451E-7
395.00,1.907150021907E-6
396.00,9.5000001465451E-7
397.00,9.5000001465451E-7
398.00,9.5000001465451E-7
399.00,1.6402799474236E-6
400.00,9.5000001465451E-7
401.00,9.5000001465451E-7
402.00,9.5000001465451E-7
403.00,1.042830035658E-6
404.00,9.5000001465451E-7
405.00,1.8061999753627E-6
406.00,9.5000001465451E-7
407.00,1.7089199673137E-6
408.00,9.5000001465451E-7
409.00,9.5000001465451E-7
410.00,9.5000001465451E-7
411.00,9.5000001465451E-7
412.00,9.5000001465451E-7
413.00,9.5000001465451E-7
414.00,9.5000001465451E-7
415.00,9.5000001465451E-7
416.00,1.0829199936779E-6
417.00,9.5000001465451E-7
418.00,9.5000001465451E-7
419.00,9.5000001465451E-7
420.00,9.5000001465451E-7
421.00,9.5000001465451E-7
422.00,9.5000001465451E-7
423.00,9.5000001465451E-7
424.00,9.5000001465451E-7
425.00,9.5000001465451E-7
426.00,9.5000001465451E-7
427.00,9.5000001465451E-7
428.00,9.5000001465451E-7
429.00,9.5000001465451E-7
430.00,9.5000001465451E-7
431.00,9.5000001465451E-7
432.00,1.3735000266024E-6
433.00,1.4358799944603E-6
434.00,9.5000001465451E-7
435.00,9.5000001465451E-7
436.00,9.5000001465451E-7
437.00,9.5000001465451E-7
438.00,9.5000001465451E-7
439.00,9.5000001465451E-7
440.00,9.5000001465451E-7
441.00,9.5000001465451E-7
442.00,1.3101999911669E-6
443.00,1.8315599845664E-6
444.00,1.8117899571735E-6
445.00,9.5000001465451E-7
446.00,1.5753299749122E-6
447.00,1.3589799436886E-6
448.00,9.5000001465451E-7
449.00,1.1365200407454E-6
450.00,9.5000001465451E-7
451.00,9.5000001465451E-7
452.00,1.2281899444133E-6
453.00,1.3566700545198E-6
454.00,9.5000001465451E-7
455.00,9.5000001465451E-7
456.00,9.5475797934341E-7
457.00,1.1874600431838E-6
458.00,1.4089599744693E-6
459.00,9.5000001465451E-7
460.00,9.5000001465451E-7
461.00,9.5000001465451E-7
462.00,1.4384700079972E-6
463.00,9.5000001465451E-7
464.00,9.5000001465451E-7
465.00,9.5000001465451E-7
466.00,9.5000001465451E-7
467.00,9.5000001465451E-7
468.00,9.5000001465451E-7
469.00,1.0716299811975E-6
470.00,1.4504199725707E-6
471.00,9.5000001465451E-7
472.00,9.5892301033018E-7
473.00,1.2115200433982E-6
474.00,1.4922200080036E-6
475.00,9.5000001465451E-7
476.00,9.5000001465451E-7
477.00,1.139639948633E-6
478.00,9.5000001465451E-7
479.00,9.5000001465451E-7
480.00,9.5000001465451E-7
481.00,9.5000001465451E-7
482.00,1.1084799780292E-6
483.00,1.9856299786625E-6
484.00,1.9122398953186E-6
485.00,1.555780045237E-6
486.00,9.5000001465451E-7
487.00,9.5000001465451E-7
488.00,9.5000001465451E-7
489.00,9.5000001465451E-7
490.00,1.2208299722261E-6
491.00,9.5000001465451E-7
492.00,9.5000001465451E-7
493.00,9.5000001465451E-7
494.00,9.5000001465451E-7
495.00,1.3720799643124E-6
496.00,9.5000001465451E-7
497.00,9.5000001465451E-7
498.00,9.5000001465451E-7
499.00,9.5000001465451E-7
500.00,9.5000001465451E-7
501.00,9.5000001465451E-7
502.00,9.5000001465451E-7
503.00,9.5000001465451E-7
504.00,9.5000001465451E-7
505.00,9.5000001465451E-7
506.00,9.5000001465451E-7
507.00,9.5000001465451E-7
508.00,9.5000001465451E-7
509.00,9.5000001465451E-7
510.00,9.5000001465451E-7
511.00,9.5000001465451E-7
512.00,9.5000001465451E-7
513.00,1.1634499514912E-6
514.00,9.5000001465451E-7
515.00,9.5000001465451E-7
516.00,9.5000001465451E-7
517.00,9.5000001465451E-7
518.00,9.5000001465451E-7
519.00,1.1051499768655E-6
520.00,9.5000001465451E-7
521.00,9.5000001465451E-7
522.00,9.5000001465451E-7
523.00,9.5000001465451E-7
524.00,9.5000001465451E-7
525.00,9.5000001465451E-7
526.00,9.5000001465451E-7
527.00,9.5000001465451E-7
528.00,9.5000001465451E-7
529.00,1.2401500271153E-6
530.00,9.5000001465451E-7
531.00,9.5000001465451E-7
532.00,9.5000001465451E-7
533.00,9.5000001465451E-7
534.00,9.5000001465451E-7
535.00,9.5000001465451E-7
536.00,9.5000001465451E-7
537.00,9.5000001465451E-7
538.00,9.5000001465451E-7
539.00,9.5000001465451E-7
540.00,9.5000001465451E-7
541.00,9.5000001465451E-7
542.00,9.5000001465451E-7
543.00,9.5000001465451E-7
544.00,9.5000001465451E-7
545.00,9.5000001465451E-7
546.00,9.5000001465451E-7
547.00,9.5000001465451E-7
548.00,9.5000001465451E-7
549.00,9.5000001465451E-7
550.00,9.5000001465451E-7
551.00,9.5000001465451E-7
552.00,1.2856800140071E-6
553.00,1.5137800346565E-6
554.00,1.2424200122041E-6
555.00,9.5000001465451E-7
556.00,9.5000001465451E-7
557.00,9.5000001465451E-7
558.00,9.5000001465451E-7
559.00,9.5000001465451E-7
560.00,9.8431200967752E-7
561.00,9.9725400559691E-7
562.00,9.5000001465451E-7
563.00,9.5000001465451E-7
564.00,9.5000001465451E-7
565.00,9.5000001465451E-7
566.00,1.0797899676618E-6
567.00,1.1756200137825E-6
568.00,9.5000001465451E-7
569.00,9.5000001465451E-7
570.00,9.5000001465451E-7
571.00,1.107649950427E-6
572.00,9.5000001465451E-7
573.00,9.5000001465451E-7
574.00,9.5000001465451E-7
575.00,9.5000001465451E-7
576.00,9.5000001465451E-7
577.00,9.5000001465451E-7
578.00,9.5000001465451E-7
579.00,9.5000001465451E-7
580.00,9.5000001465451E-7
581.00,9.5000001465451E-7
582.00,9.5000001465451E-7
583.00,9.5000001465451E-7
584.00,9.5000001465451E-7
585.00,9.5000001465451E-7
586.00,9.5000001465451E-7
587.00,9.5000001465451E-7
588.00,9.5000001465451E-7
589.00,9.5000001465451E-7
590.00,9.5000001465451E-7
591.00,9.5000001465451E-7
592.00,9.5000001465451E-7
593.00,9.5000001465451E-7
594.00,9.5000001465451E-7
595.00,9.5000001465451E-7
596.00,9.5000001465451E-7
597.00,1.1459000006653E-6
598.00,7.0341498030757E-6
599.00,3.2998901588144E-5
600.00,0.00026212199009024
601.00,0.0041508199647069
602.00,0.12509900331497
603.00,0.73363202810287
604.00,0.97875797748566
605.00,0.97967797517776
606.00,0.98340100049973
607.00,0.9824920296669
608.00,0.97823601961136
609.00,0.9906240105629
610.00,0.98527401685715
611.00,0.98712301254272
612.00,0.99190598726273
613.00,0.98475897312164
614.00,0.98645997047424
615.00,0.98645001649857
616.00,0.98952001333237
617.00,0.98586297035217
618.00,0.98855900764465
619.00,0.99318397045135
620.00,0.99150198698044
621.00,0.98234301805496
622.00,0.9824920296669
623.00,0.98812800645828
624.00,0.99510699510574
625.00,0.98526901006699
626.00,0.97865301370621
627.00,0.98246502876282
628.00,0.98671197891235
629.00,0.9902920126915
630.00,0.98639100790024
631.00,0.98259699344635
632.00,0.98477101325989
633.00,0.99314701557159
634.00,0.99030900001526
635.00,0.98556900024414
636.00,0.98572999238968
637.00,0.98681700229645
638.00,0.98715597391129
639.00,0.98624098300934
640.00,0.98509299755096
641.00,0.98556101322174
642.00,0.98554301261902
643.00,0.98379200696945
644.00,0.97753399610519
645.00,0.97701001167297
646.00,0.97943300008774
647.00,0.98731297254562
648.00,0.98616302013397
649.00,0.98581999540329
650.00,0.98334801197052
651.00,0.98521798849106
652.00,0.99278497695923
653.00,0.99515599012375
654.00,0.9898430109024
655.00,0.98496699333191
656.00,0.9877650141716
657.00,0.98889797925949
658.00,0.99021297693253
659.00,0.99242901802063
660.00,0.98707801103592
661.00,0.99071002006531
662.00,0.99161499738693
663.00,0.98973399400711
664.00,0.98886799812317
665.00,0.98977899551392
666.00,0.98983699083328
667.00,0.98556697368622
668.00,0.9869629740715
669.00,0.9876070022583
670.00,0.98272997140884
671.00,0.98415797948837
672.00,0.98270100355148
673.00,0.98432797193527
674.00,0.98595201969147
675.00,0.97724002599716
676.00,0.97049802541733
677.00,0.98244500160217
678.00,0.98113697767258
679.00,0.97773599624634
680.00,0.97916299104691
681.00,0.85779398679733
682.00,0.047118201851845
683.00,0.021575700491667
684.00,0.0012559799943119
685.00,0.00012891700316686
686.00,1.85821991181E-5
687.00,3.4569600302348E-6
688.00,1.0310800462321E-6
689.00,9.5000001465451E-7
690.00,9.5000001465451E-7
691.00,9.5000001465451E-7
692.00,9.5000001465451E-7
693.00,9.5000001465451E-7
694.00,9.5000001465451E-7
695.00,9.5000001465451E-7
696.00,9.5000001465451E-7
697.00,9.5000001465451E-7
698.00,9.5000001465451E-7
699.00,9.5000001465451E-7
700.00,9.5000001465451E-7
701.00,9.5000001465451E-7
702.00,9.5000001465451E-7
703.00,9.5000001465451E-7
704.00,9.5000001465451E-7
705.00,9.5000001465451E-7
706.00,9.5000001465451E-7
707.00,9.5000001465451E-7
708.00,9.5000001465451E-7
709.00,9.5000001465451E-7
710.00,9.5000001465451E-7
711.00,9.5000001465451E-7
712.00,9.5000001465451E-7
713.00,9.5000001465451E-7
714.00,9.5000001465451E-7
715.00,9.5000001465451E-7
716.00,9.5000001465451E-7
717.00,9.5000001465451E-7
718.00,9.5000001465451E-7
719.00,9.5000001465451E-7
720.00,9.5000001465451E-7
721.00,9.5000001465451E-7
722.00,9.5000001465451E-7
723.00,9.5000001465451E-7
724.00,9.5000001465451E-7
725.00,9.5000001465451E-7
726.00,9.5000001465451E-7
727.00,9.5000001465451E-7
728.00,9.5000001465451E-7
729.00,9.5000001465451E-7
730.00,9.5000001465451E-7
731.00,9.5000001465451E-7
732.00,9.5000001465451E-7
733.00,9.5000001465451E-7
734.00,9.5000001465451E-7
735.00,9.5000001465451E-7
736.00,9.5000001465451E-7
737.00,9.5000001465451E-7
738.00,9.5000001465451E-7
739.00,9.5000001465451E-7
740.00,9.5000001465451E-7
741.00,9.5000001465451E-7
742.00,9.5000001465451E-7
743.00,9.5000001465451E-7
744.00,9.5000001465451E-7
745.00,9.5000001465451E-7
746.00,1.774709971869E-6
747.00,9.5000001465451E-7
748.00,9.5000001465451E-7
749.00,9.5000001465451E-7
750.00,1.1538500075403E-6
751.00,1.2910199984617E-6
752.00,1.5115200540095E-6
753.00,9.5000001465451E-7
754.00,9.5000001465451E-7
755.00,9.5000001465451E-7
756.00,9.5000001465451E-7
757.00,9.5000001465451E-7
758.00,9.5000001465451E-7
759.00,9.5000001465451E-7
760.00,9.5000001465451E-7
761.00,9.5000001465451E-7
762.00,1.9234300907556E-6
763.00,9.5000001465451E-7
764.00,9.5929897270253E-7
765.00,9.5000001465451E-7
766.00,2.1719599772041E-6
767.00,9.5000001465451E-7
768.00,9.5000001465451E-7
769.00,9.8175496532349E-7
770.00,1.5583500498906E-6
771.00,3.2153600386664E-6
772.00,3.7771299048472E-6
773.00,9.5000001465451E-7
774.00,9.5000001465451E-7
775.00,9.5000001465451E-7
776.00,9.5000001465451E-7
777.00,9.5000001465451E-7
778.00,9.5000001465451E-7
779.00,9.5000001465451E-7
780.00,9.5000001465451E-7
781.00,9.5000001465451E-7
782.00,2.6496200007387E-6
783.00,2.3426800908055E-6
784.00,1.6557900153202E-6
785.00,2.4626599497424E-6
786.00,9.5000001465451E-7
787.00,9.5000001465451E-7
788.00,9.5000001465451E-7
789.00,1.5551099750155E-6
790.00,9.5000001465451E-7
791.00,1.8493899460736E-6
792.00,1.5878999874985E-6
793.00,9.5000001465451E-7
794.00,1.4153399661154E-6
795.00,9.5000001465451E-7
796.00,9.5000001465451E-7
797.00,9.5000001465451E-7
798.00,2.1213900254224E-6
799.00,1.2718500101982E-6
800.00,1.3231300499683E-6
