Wavelenght (nm),mScarlet
550,1.13
550.5,1.28
551,1.42
551.5,1.56
552,1.7
552.5,1.83
553,1.97
553.5,2.12
554,2.28
554.5,2.45
555,2.63
555.5,2.83
556,3.06
556.5,3.3
557,3.58
557.5,3.88
558,4.22
558.5,4.59
559,4.99
559.5,5.44
560,5.94
560.5,6.47
561,7.06
561.5,7.74
562,8.45
562.5,9.26
563,10.1
563.5,11
564,12
564.5,13.1
565,14.2
565.5,15.4
566,16.7
566.5,18.1
567,19.5
567.5,21
568,22.6
568.5,24.2
569,26
569.5,27.7
570,29.6
570.5,31.5
571,33.5
571.5,35.5
572,37.7
572.5,39.9
573,42.2
573.5,44.5
574,46.8
574.5,49.2
575,51.6
575.5,53.9
576,56.3
576.5,58.7
577,61
577.5,63.4
578,65.7
578.5,67.9
579,70
579.5,72.1
580,74.1
580.5,76.2
581,78.1
581.5,80
582,81.9
582.5,83.5
583,85.2
583.5,86.7
584,88.2
584.5,89.7
585,91
585.5,92.2
586,93.2
586.5,94.2
587,95.1
587.5,96
588,96.7
588.5,97.2
589,97.9
589.5,98.4
590,98.8
590.5,99.1
591,99.4
591.5,99.6
592,99.8
592.5,99.8
593,99.9
593.5,100
594,99.9
594.5,99.8
595,99.6
595.5,99.4
596,99.1
596.5,98.7
597,98.4
597.5,97.9
598,97.5
598.5,97.1
599,96.6
599.5,96
600,95.4
600.5,94.8
601,94.2
601.5,93.6
602,93
602.5,92.5
603,91.9
603.5,91.2
604,90.6
604.5,89.9
605,89.2
605.5,88.5
606,87.9
606.5,87.2
607,86.4
607.5,85.6
608,84.9
608.5,84.4
609,83.7
609.5,83
610,82.3
610.5,81.6
611,81
611.5,80.3
612,79.7
612.5,79
613,78.3
613.5,77.7
614,77.1
614.5,76.4
615,75.7
615.5,75.1
616,74.3
616.5,73.7
617,73.1
617.5,72.6
618,71.9
618.5,71.3
619,70.8
619.5,70.2
620,69.7
620.5,69.2
621,68.7
621.5,68.2
622,67.6
622.5,67
623,66.5
623.5,66
624,65.4
624.5,64.9
625,64.4
625.5,64
626,63.5
626.5,63
627,62.5
627.5,61.9
628,61.3
628.5,60.9
629,60.4
629.5,60
630,59.6
630.5,59.1
631,58.6
631.5,58.1
632,57.7
632.5,57.3
633,56.9
633.5,56.5
634,56
634.5,55.5
635,55.1
635.5,54.6
636,54.2
636.5,53.6
637,53.2
637.5,52.8
638,52.3
638.5,51.9
639,51.4
639.5,50.8
640,50.3
640.5,49.9
641,49.5
641.5,49
642,48.6
642.5,48
643,47.6
643.5,47.1
644,46.5
644.5,46
645,45.5
645.5,45
646,44.5
646.5,44
647,43.5
647.5,42.9
648,42.4
648.5,41.8
649,41.2
649.5,40.6
650,40.1
650.5,39.7
651,39.2
651.5,38.8
652,38.3
652.5,37.9
653,37.4
653.5,37
654,36.6
654.5,36.1
655,35.6
655.5,35.1
656,34.7
656.5,34.2
657,33.8
657.5,33.3
658,32.8
658.5,32.3
659,31.9
659.5,31.5
660,31
660.5,30.6
661,30.1
661.5,29.7
662,29.3
662.5,28.9
663,28.5
663.5,28.1
664,27.7
664.5,27.3
665,26.9
665.5,26.5
666,26.1
666.5,25.8
667,25.4
667.5,25
668,24.6
668.5,24.2
669,23.9
669.5,23.5
670,23.2
670.5,22.9
671,22.6
671.5,22.2
672,22
672.5,21.8
673,21.6
673.5,21.4
674,21.1
674.5,20.8
675,20.6
675.5,20.3
676,20.2
676.5,20
677,19.7
677.5,19.4
678,19.1
678.5,18.9
679,18.6
679.5,18.4
680,18.2
680.5,17.9
681,17.6
681.5,17.3
682,17.1
682.5,16.9
683,16.6
683.5,16.4
684,16.2
684.5,15.9
685,15.7
685.5,15.5
686,15.3
686.5,15
687,14.7
687.5,14.5
688,14.3
688.5,14.1
689,13.9
689.5,13.7
690,13.5
690.5,13.3
691,13.1
691.5,12.9
692,12.7
692.5,12.6
693,12.4
693.5,12.2
694,12.1
694.5,11.9
695,11.8
695.5,11.6
696,11.4
696.5,11.3
697,11.2
697.5,11.1
698,10.9
698.5,10.8
699,10.6
699.5,10.4
700,10.3
700.5,10.2
701,10.1
701.5,9.95
702,9.85
702.5,9.72
703,9.54
703.5,9.44
704,9.33
704.5,9.24
705,9.13
705.5,9.08
706,8.99
706.5,8.83
707,8.75
707.5,8.67
708,8.53
708.5,8.4
709,8.3
709.5,8.29
710,8.29
710.5,8.23
711,8.15
711.5,8.07
712,7.99
712.5,7.89
713,7.86
713.5,7.8
714,7.72
714.5,7.6
715,7.46
715.5,7.32
716,7.26
716.5,7.17
717,7.09
717.5,6.98
718,6.85
718.5,6.72
719,6.55
719.5,6.44
720,6.28
720.5,6.12
721,6
721.5,5.9
722,5.86
722.5,5.75
723,5.68
723.5,5.58
724,5.5
724.5,5.38
725,5.26
725.5,5.23
726,5.14
726.5,5.11
727,5.05
727.5,4.97
728,4.86
728.5,4.77
729,4.7
729.5,4.59
730,4.48
730.5,4.43
731,4.39
731.5,4.39
732,4.41
732.5,4.4
733,4.36
733.5,4.33
734,4.31
734.5,4.28
735,4.23
735.5,4.18
736,4.1
736.5,4.02
737,4.02
737.5,4.01
738,4
738.5,4.03
739,4.03
739.5,3.95
740,3.83
740.5,3.81
741,3.83
741.5,3.76
742,3.73
742.5,3.71
743,3.67
743.5,3.61
744,3.58
744.5,3.62
745,3.57
745.5,3.55
746,3.51
746.5,3.5
747,3.42
747.5,3.43
748,3.38
748.5,3.26
749,3.18
749.5,3.06
750,2.96
750.5,2.87
751,2.83
751.5,2.8
752,2.75
752.5,2.73
753,2.73
753.5,2.78
754,2.74
754.5,2.65
755,2.59
755.5,2.59
756,2.61
756.5,2.54
757,2.53
757.5,2.51
758,2.5
758.5,2.49
759,2.49
759.5,2.49
760,2.48
760.5,2.44
761,2.36
761.5,2.27
762,2.23
762.5,2.23
763,2.23
763.5,2.19
764,2.19
764.5,2.15
765,2.15
765.5,2.16
766,2.16
766.5,2.15
767,2.08
767.5,2.07
768,2.01
768.5,1.95
769,1.88
769.5,1.81
770,1.68
770.5,1.62
771,1.61
771.5,1.53
772,1.45
772.5,1.42
773,1.44
773.5,1.41
774,1.41
774.5,1.44
775,1.44
775.5,1.44
776,1.4
776.5,1.42
777,1.45
777.5,1.43
778,1.34
778.5,1.25
779,1.24
779.5,1.17
780,1.12
780.5,1.17
781,1.14
781.5,1.13
782,1.08
782.5,1.04
783,1.08
783.5,1.03
784,1.04
784.5,1.09
785,1.11
785.5,1.15
786,1.09
786.5,1.06
787,1.12
787.5,1.12
788,1.09
788.5,1.06
789,1.07
789.5,1.08
790,1.08
790.5,1.09
791,1.09
791.5,1.1
792,1.11
792.5,1.12
793,1.13
793.5,1.14
794,1.16
794.5,1.17
795,1.19
795.5,1.21
796,1.23
796.5,1.25
797,1.27
797.5,1.3
798,1.32
798.5,1.35
799,1.38
799.5,1.4
800,1.44