wavelength,R-0056
300,2.31
302,2.72
304,2.88
306,2.2
308,2.69
310,3.91
312,4.53
314,5
316,5.18
318,4.92
320,4.72
322,4.39
324,3.83
326,3.34
328,2.94
330,2.55
332,2.29
334,2.09
336,1.82
338,1.61
340,1.49
342,1.41
344,1.35
346,1.26
348,1.21
350,1.2
352,1.19
354,1.16
356,1.14
358,1.11
360,1.06
362,0.98
364,0.88
366,0.78
368,0.75
370,0.8
372,0.86
374,0.89
376,0.88
378,0.84
380,0.84
382,0.87
384,0.88
386,0.83
388,0.71
390,0.53
392,0.31
394,0.13
396,0.05
398,0.04
400,0.05
402,0.05
404,0.06
406,0.07
408,0.12
410,0.23
412,0.42
414,0.64
416,0.81
418,0.89
420,0.89
422,0.85
424,0.83
426,0.86
428,0.92
430,0.97
432,0.96
434,0.94
436,0.91
438,0.88
440,0.88
442,0.88
444,0.84
446,0.73
448,0.54
450,0.34
452,0.17
454,0.08
456,0.05
458,0.04
460,0.05
462,0.05
464,0.06
466,0.07
468,0.06
470,0.06
472,0.06
474,0.05
476,0.05
478,0.06
480,0.06
482,0.06
484,0.06
486,0.06
488,0.08
490,0.14
492,0.25
494,0.4
496,0.57
498,0.72
500,0.83
502,0.88
504,0.88
506,0.8
508,0.67
510,0.49
512,0.31
514,0.17
516,0.11
518,0.13
520,0.23
522,0.37
524,0.52
526,0.68
528,0.8
530,0.88
532,0.93
534,0.96
536,0.97
538,0.97
540,0.96
542,0.96
544,0.96
546,0.97
548,0.97
550,0.97
552,0.97
554,0.97
556,0.97
558,0.97
560,0.97
562,0.97
564,0.98
566,0.98
568,0.97
570,0.96
572,0.94
574,0.9
576,0.83
578,0.74
580,0.61
582,0.47
584,0.34
586,0.22
588,0.13
590,0.08
592,0.06
594,0.05
596,0.05
598,0.04
600,0.04
602,0.04
604,0.03
606,0.03
608,0.03
610,0.03
612,0.03
614,0.03
616,0.03
618,0.03
620,0.03
622,0.03
624,0.04
626,0.04
628,0.05
630,0.05
632,0.04
634,0.04
636,0.04
638,0.04
640,0.04
642,0.04
644,0.04
646,0.04
648,0.04
650,0.04
652,0.04
654,0.05
656,0.05
658,0.05
660,0.05
662,0.04
664,0.04
666,0.04
668,0.04
670,0.04
672,0.04
674,0.05
676,0.05
678,0.05
680,0.05
682,0.04
684,0.04
686,0.04
688,0.04
690,0.04
692,0.04
694,0.05
696,0.05
698,0.05
700,0.05
702,0.05
704,0.05
706,0.05
708,0.05
710,0.05
712,0.06
714,0.07
716,0.09
718,0.12
720,0.15
722,0.2
724,0.25
726,0.31
728,0.37
730,0.43
732,0.49
734,0.55
736,0.62
738,0.67
740,0.72
742,0.76
744,0.79
746,0.82
748,0.85
750,0.87
752,0.88
754,0.9
756,0.92
758,0.94
760,0.96
762,0.97
764,0.97
766,0.98
768,0.98
770,0.97
772,0.96
774,0.96
776,0.95
778,0.95
780,0.96
782,0.97
784,0.98
786,0.99
788,0.99
790,1
792,1.01
794,1.01
796,1
798,1.01
800,1.01